0.01	0.083	1.00%	12.56	1.00%
0.015	0.85	1.00%	5.54	1.00%
0.02	1.05	1.00%	3.26	2.5%
0.03	0.8	1.00%	0.84	1.00%
0.04	0.62	1.2%	0.62	1.2%
0.05	0.52	1.1%	0.55	3.0%
0.06	0.51	2.4%	0.54	2.8%
0.08	0.56	1.4%	0.55	4.5%
0.1	0.62	3.0%	0.65	3.8%
0.15	0.87	1.6%	0.91	2.7%
0.2	1.23	1.2%	1.23	1.0%
0.3	1.81	1.4%	1.81	1.00%
0.4	2.36	2.1%	2.41	1.2%
0.5	2.78	1.00%	2.91	1.1%
0.6	3.46	2.0%	3.51	2.2%
0.8	4.29	1.4%	4.43	1.1%
1	5.18	1.5%	5.23	1.3%
1.5	6.92	1.5%	7.03	1.0%
2	8.25	1.3%	8.57	1.00%
3	10.4	2.0%	11.1	1.7%
4	10.7	2.4%	13.6	1.00%
5	10.4	1.6%	15	1.1%
6	9.58	1.00%	16.9	1.00%
8	9.1	1.7%	20.8	1.6%
10	8.76	1.00%	24	1.2%
20	8.29	1.9%	40.7	1.3%
30	8.23	2.0%	57.3	1.4%
40	8.26	1.8%	72	1.3%
50	8.64	2.0%	87.2	1.8%
100	9	5.9%	154.7	2.1%
200	10.2	5.6%	220.6	1.8%
500	11.8	4.0%	316.2	1.3%
1000	11.7	3.9%	361.3	1.00%
2000	11.5	3.5%	417.2	1.0%
5000	13.3	5.0%	499.6	1.00%
10000	12.2	4.1%	546	1.2%
