2.50E-08	1.04E-11	4.3%	1.19E-11	2.1%
1.00E-03	8.62E-12	4.3%	1.30E-11	2.1%
1.00E-01	1.08E-10	1.2%	1.45E-10	0.3%
1.00E+00	4.92E-10	1.6%	5.30E-10	0.9%
5.00E+00	4.26E-10	2.5%	4.44E-10	0.6%
1.00E+01	4.63E-10	3.4%	4.85E-10	2.6%
1.50E+01	5.08E-10	2.7%	5.25E-10	2.1%
1.90E+01	5.56E-10	1.4%	5.75E-10	2.6%
2.00E+01	5.26E-10	1.7%	5.35E-10	1.6%
5.00E+01	3.59E-10	2.8%	4.08E-10	3.6%
1.00E+02	2.62E-10	2.3%	3.52E-10	1.4%
2.00E+02	2.21E-10	2.2%	3.73E-10	2.2%
5.00E+02	2.90E-10	3.4%	4.53E-10	2.3%
1.00E+03	3.77E-10	4.6%	5.73E-10	2.5%
5.00E+03	4.92E-10	3.3%	1.13E-09	3.3%
1.00E+04	5.23E-10	7.6%	1.62E-09	5.8%
1.00E+05	4.99E-10	6.1%	3.40E-09	4.3%
1.00E+06	7.17E-10	8.6%	8.22E-09	3.3%
1.00E+07	1.16E-09	8.3%	1.97E-08	2.7%
