# Data-only cylindrical-z solenoid map for the asciimap plugin (see solenoid.yaml).
# Complete 4 x 7 grid (made-up but smooth values for a runnable example).
# Columns: transverse[m]  longitudinal[m]  Bt[T]  Bl[T]
 0.000   -3.000    0.000000    0.526996
 0.000   -2.000    0.000000    1.839397
 0.000   -1.000    0.000000    3.894004
 0.000    0.000   -0.000000    5.000000
 0.000    1.000   -0.000000    3.894004
 0.000    2.000   -0.000000    1.839397
 0.000    3.000   -0.000000    0.526996
 1.000   -3.000    0.066667    0.500646
 1.000   -2.000    0.044444    1.747427
 1.000   -1.000    0.022222    3.699304
 1.000    0.000   -0.000000    4.750000
 1.000    1.000   -0.022222    3.699304
 1.000    2.000   -0.044444    1.747427
 1.000    3.000   -0.066667    0.500646
 2.000   -3.000    0.133333    0.474297
 2.000   -2.000    0.088889    1.655457
 2.000   -1.000    0.044444    3.504604
 2.000    0.000   -0.000000    4.500000
 2.000    1.000   -0.044444    3.504604
 2.000    2.000   -0.088889    1.655457
 2.000    3.000   -0.133333    0.474297
 3.000   -3.000    0.200000    0.447947
 3.000   -2.000    0.133333    1.563488
 3.000   -1.000    0.066667    3.309903
 3.000    0.000   -0.000000    4.250000
 3.000    1.000   -0.066667    3.309903
 3.000    2.000   -0.133333    1.563488
 3.000    3.000   -0.200000    0.447947
