# Data-only phi-segmented torus map for the asciimap plugin (see torus.yaml).
# Complete 4 x 6 x 6 grid (made-up but smooth values for a runnable example).
# Columns: azimuthal[deg]  transverse[cm]  longitudinal[cm]  Bx[kG]  By[kG]  Bz[kG]
  0.0     0.0   100.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0     0.0   200.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0     0.0   300.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0     0.0   400.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0     0.0   500.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0     0.0   600.0    0.000000e+00    0.000000e+00    0.000000e+00
  0.0   100.0   100.0    0.000000e+00    7.546010e-01    2.096114e-02
  0.0   100.0   200.0    0.000000e+00    2.051218e+00    5.697828e-02
  0.0   100.0   300.0    0.000000e+00    3.381887e+00    9.394131e-02
  0.0   100.0   400.0    0.000000e+00    3.381887e+00    9.394131e-02
  0.0   100.0   500.0    0.000000e+00    2.051218e+00    5.697828e-02
  0.0   100.0   600.0    0.000000e+00    7.546010e-01    2.096114e-02
  0.0   200.0   100.0    0.000000e+00    1.509202e+00    4.192228e-02
  0.0   200.0   200.0    0.000000e+00    4.102436e+00    1.139566e-01
  0.0   200.0   300.0    0.000000e+00    6.763774e+00    1.878826e-01
  0.0   200.0   400.0    0.000000e+00    6.763774e+00    1.878826e-01
  0.0   200.0   500.0    0.000000e+00    4.102436e+00    1.139566e-01
  0.0   200.0   600.0    0.000000e+00    1.509202e+00    4.192228e-02
  0.0   300.0   100.0    0.000000e+00    2.263803e+00    6.288342e-02
  0.0   300.0   200.0    0.000000e+00    6.153655e+00    1.709348e-01
  0.0   300.0   300.0    0.000000e+00    1.014566e+01    2.818239e-01
  0.0   300.0   400.0    0.000000e+00    1.014566e+01    2.818239e-01
  0.0   300.0   500.0    0.000000e+00    6.153655e+00    1.709348e-01
  0.0   300.0   600.0    0.000000e+00    2.263803e+00    6.288342e-02
  0.0   400.0   100.0    0.000000e+00    3.018404e+00    8.384455e-02
  0.0   400.0   200.0    0.000000e+00    8.204873e+00    2.279131e-01
  0.0   400.0   300.0    0.000000e+00    1.352755e+01    3.757652e-01
  0.0   400.0   400.0    0.000000e+00    1.352755e+01    3.757652e-01
  0.0   400.0   500.0    0.000000e+00    8.204873e+00    2.279131e-01
  0.0   400.0   600.0    0.000000e+00    3.018404e+00    8.384455e-02
  0.0   500.0   100.0    0.000000e+00    3.773005e+00    1.048057e-01
  0.0   500.0   200.0    0.000000e+00    1.025609e+01    2.848914e-01
  0.0   500.0   300.0    0.000000e+00    1.690944e+01    4.697065e-01
  0.0   500.0   400.0    0.000000e+00    1.690944e+01    4.697065e-01
